Id,state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,age_final,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,status
1005,CA,"4,249,739","-71,416,794",1720,Acton,Blackwave,01/01/2006,,6,01/12/2006,9/30/2009,0,3,3,"28,000,000",2,network_hosting,0,0,1,1,1,0,2.6667,acquired
204,CA,"42,485,093","-7,143,284",1720,Acton,Tatara Systems,01/01/2001,,11,1/20/2004,6/22/2010,3,9,5,"33,000,000",1,mobile,1,0,0,1,1,1,2,acquired
1001,CA,"32,960,431","-9,683,026",75001,Addison,CREDANT Technologies,01/01/2001,,11,12/20/2007,12/20/2007,6,6,1,"5,000,000",2,security,0,0,0,0,1,0,5,acquired
738,CA,"32,969,251","-96,823,778",75001,Addison,Semantra,01/01/2003,4/25/2010,9,01/09/2006,7/22/2008,3,5,3,"9,100,000",0,software,1,0,0,1,1,0,1,closed
1002,CA,"32,958,634","-96,823,641",75001,Addison,SensorLogic,01/01/2002,,10,6/19/2007,12/13/2010,5,8,3,"19,000,000",2,enterprise,1,0,0,1,1,0,5.3333,acquired
379,CA,"32,960,431","-9,683,026",75001,Addison,Chronicity,01/09/2006,01/04/2012,6,10/10/2006,5/26/2011,0,5,4,"19,550,000",0,consulting,1,0,1,0,0,0,1,closed
195,CA,"377,831,775","-1,223,086,191",94501,Alameda,Makani Power,01/01/2006,,6,8/23/2008,8/23/2008,2,2,1,"5,000,000",2,cleantech,0,0,0,1,0,0,1,acquired
875,CA,"37,789,429","-122,276,524",94501,Alameda,Voxify,01/01/2001,,11,01/02/2005,4/21/2010,4,9,3,"33,000,000",1,enterprise,1,0,0,1,0,1,3.6667,acquired
16,MA,"35,084,103,000,000,000","-106,650,985",87102,Albuquerque,iosil Energy,01/01/2007,04/03/2012,5,12/24/2009,3/17/2012,2,5,2,"13,875,001",0,cleantech,0,0,0,0,0,0,10,closed
846,CA,"335,842,816","-1,177,306,817",92656,Aliso Viejo,Enclarity,01/02/2005,,7,10/03/2009,10/03/2009,4,4,1,"5,500,000",1,consulting,0,0,0,0,1,0,2,acquired
685,CA,"33,570,171","-117,710,676",92656,Aliso Viejo,Gaikai,01/11/2008,,4,05/01/2010,7/20/2011,2,3,3,"45,039,999",3,games_video,0,0,1,1,1,0,3.6667,acquired
835,CA,"40,602,206","-7,547,127,900,000,000",18106,Allentown,International Battery,01/01/2008,01/03/2013,4,06/05/2010,06/05/2010,2,2,1,"35,000,000",0,cleantech,0,0,0,0,1,0,1,closed
531,KY,"40,602,206","-7,547,127,900,000,000",18106,Allentown,T-Networks,01/01/2000,06/09/2011,12,2/28/2005,2/28/2005,5,5,1,"5,750,000",0,public_relations,0,0,0,0,1,0,4,closed
137,NY,"34,070,958,000,000,000","-84,274,733",30009,Alpharetta,Visiprise,01/01/1985,03/05/2009,27,10/17/2005,10/17/2005,20,20,1,"32,000,000",0,software,0,0,0,1,0,0,7,closed
162,CO,"2,866,677","-81,392,794",32714,Altamonte Springs,Hit Systems,01/09/2008,10/01/2013,4,01/09/2008,01/09/2008,0,0,1,"125,000",0,enterprise,0,1,0,0,0,0,1,closed
898,VA,"426,555,302","-711,455,618",1810,Andover,Exit41,01/01/1999,01/05/2013,13,04/02/2007,12/05/2011,8,12,4,"24,200,000",2,software,1,0,1,0,1,0,2.3333,closed
235,CA,"3,897,864,000,000,000","-76,492,786",21401,Annapolis,Netcordia,01/01/2000,,12,6/28/2005,7/31/2006,5,6,2,"13,000,000",1,network_hosting,0,0,1,1,0,0,1.5,acquired
25,CA,"341,086,325","-1,180,215,818",91006,Arcadia,Siimpel Corporation,01/01/2000,,12,11/11/2005,12/16/2009,5,9,6,"53,818,873",1,hardware,1,0,0,0,1,0,4.25,acquired
858,NY,"38,881,717","-77,089,398",22201,Arlington,Social Collective,4/17/2009,06/03/2012,3,4/18/2009,4/18/2009,0,0,1,"20,000",1,web,0,1,0,0,0,0,1,closed
